id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm147710,National Lampoon's Christmas Vacation,MOVIE,1989,PG-13,97,"['comedy', 'european']",['US'],0,7.5,185760,18.862,7.2
tm142895,Lean On Me,MOVIE,1989,PG-13,105,['drama'],['US'],0,7.4,20680,19.449,7.3
tm20712,Eddie Murphy Raw,MOVIE,1987,R,90,"['comedy', 'documentation']",['US'],0,7.6,19757,7.992,7.3
tm117580,She's Gotta Have It,MOVIE,1986,R,84,"['romance', 'comedy']",['US'],0,6.7,14472,7.416,6.707
ts23753,Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],4,6.5,2922,9.849,6.5
tm130586,Endless Love,MOVIE,1981,R,116,"['romance', 'drama']",['US'],0,4.9,8524,19.116,5.7
ts987,Danger Mouse,SHOW,1981,TV-Y,14,"['animation', 'comedy', 'family', 'scifi', 'european']",['GB'],10,7.4,3545,8.55,7.5
tm721687,Vaashi,MOVIE,1983,N/A,123,"['drama', 'thriller']",['IN'],0,6.7,388,3.79,
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,N/A,119,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],0,7.3,1693,8.092,6.7
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,N/A,133,"['animation', 'scifi', 'action', 'drama', 'war']",['JP'],0,7.2,1274,13.125,7.2
ts2760,Fireman Sam,SHOW,1987,TV-Y,10,"['animation', 'comedy', 'family', 'crime', 'european']",['GB'],13,6.1,1785,37.647,7.2
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],0,7.2,660,1.843,7.2
tm126769,Waiting for the Hearse,MOVIE,1985,N/A,87,['comedy'],['AR'],0,8,6399,7.81,8.1
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,N/A,30,"['comedy', 'documentation']",['US'],0,6.1,360,2.482,6.3
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,N/A,144,"['action', 'drama', 'war', 'animation', 'scifi']",['JP'],0,7.6,1236,12.741,7.5
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,81,"['comedy', 'documentation']",['GB'],0,7.9,15230,6.833,7.4
tm52815,Disco Dancer,MOVIE,1982,N/A,106,"['drama', 'romance']",['IN'],0,6.4,1476,7.879,5.3
tm159912,Agneepath,MOVIE,1990,N/A,174,"['drama', 'action', 'crime']",['IN'],0,7.6,8947,4.062,6.5
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,N/A,72,['comedy'],['GB'],0,8.1,1522,1.801,6.9
tm38736,Too Young The Hero,MOVIE,1988,N/A,100,"['drama', 'war']",['US'],0,6.7,502,1.485,6.2
tm51083,A Stoning in Fulham County,MOVIE,1988,N/A,120,"['thriller', 'crime', 'drama']",['US'],0,5.9,387,1.01,5.8
tm137013,The Ryan White Story,MOVIE,1989,N/A,102,['drama'],['US'],0,7.2,863,1.981,5.9
tm157603,Dil,MOVIE,1990,N/A,172,"['drama', 'comedy', 'romance']",['IN'],0,6.6,5316,3.992,6.5
tm258072,Adam: His Song Continues,MOVIE,1986,N/A,100,"['crime', 'drama']",['US'],0,7,212,1.603,7
tm114356,The George McKenna Story,MOVIE,1988,N/A,100,['drama'],['US'],0,6,921,2.296,6.1
tm157853,In Defense of a Married Man,MOVIE,1990,N/A,94,"['drama', 'crime']",['US'],0,5.6,207,2.444,4.9
tm132164,Bill Hicks: Sane Man,MOVIE,1989,R,80,['comedy'],['US'],0,,,3.377,7.5
tm446654,Mujrim,MOVIE,1989,N/A,162,"['drama', 'action', 'crime']",['IN'],0,5.4,197,1.418,6
tm348735,Aakhri Adaalat,MOVIE,1988,N/A,148,"['action', 'crime', 'thriller']",['IN'],0,5.1,92,1.374,5
tm151332,"Alexandria, Again and Forever",MOVIE,1989,N/A,105,['drama'],"['FR', 'EG']",0,6.5,658,0.817,5.3
tm342996,Duniya,MOVIE,1984,N/A,170,"['action', 'drama']",['IN'],0,6.3,245,1.394,
tm24110,Strange Voices,MOVIE,1987,N/A,100,['drama'],['US'],0,6.3,360,2.76,6.8
tm371359,Jaal,MOVIE,1986,N/A,159,"['action', 'drama', 'thriller']",['IN'],0,5.2,125,3.366,5
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,N/A,100,['drama'],['US'],0,7.2,144,2.246,8
ts63001,High Risk,SHOW,1988,TV-PG,50,['comedy'],['US'],1,3.8,6,1.4,
tm311264,Muqaddar Ka Faisla,MOVIE,1987,N/A,172,"['action', 'comedy', 'drama', 'family']",['IN'],0,4.8,69,2.236,
tm411457,Pyar Ke Do Pal,MOVIE,1986,N/A,125,"['drama', 'action']",['IN'],0,6.1,66,1.756,
tm172482,Sohni Mahiwal,MOVIE,1984,N/A,160,"['romance', 'drama', 'action']",['IN'],0,6.1,297,6.052,5.8
tm419052,Ek Jaan Hain Hum,MOVIE,1983,N/A,151,"['family', 'romance']",['IN'],0,6.3,70,0.986,7
tm47673,An Egyptian Story,MOVIE,1982,N/A,129,"['drama', 'fantasy']",['EG'],0,7.3,1126,1.77,6.7
tm52274,The Little Wars,MOVIE,1982,N/A,108,"['war', 'drama', 'european']","['FR', 'LB']",0,6.3,152,1.956,5.5
tm147829,Unspeakable Acts,MOVIE,1990,N/A,100,['drama'],['US'],0,6.1,464,2.075,5.3
ts20981,Survivor,SHOW,2000,TV-PG,48,['reality'],['US'],42,7.4,24687,54.19,7.4
tm107744,Mission: Impossible,MOVIE,1996,PG-13,110,"['thriller', 'action']",['US'],0,7.1,420673,41.115,6.9
ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10,8.4,90196,88.851,8.3
tm15897,Se7en,MOVIE,1995,R,127,"['crime', 'thriller', 'drama']",['US'],0,8.6,1606270,51.633,8.352
ts21223,Pokémon,SHOW,1997,TV-Y7,22,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family']",['JP'],25,7.4,198,115.356,7.633
tm191013,Boogie Nights,MOVIE,1997,R,156,['drama'],['US'],0,7.9,261563,20.436,7.6
tm122434,Forrest Gump,MOVIE,1994,PG-13,142,"['drama', 'romance']",['US'],0,8.8,2021343,63.449,8.478
tm25947,Snatch,MOVIE,2000,R,103,"['crime', 'comedy']","['US', 'GB']",0,8.3,841435,25.203,7.8
tm43808,The Talented Mr. Ripley,MOVIE,1999,R,139,"['thriller', 'drama', 'crime']",['US'],0,7.4,207524,13.78,7.2
ts20339,One Piece,SHOW,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21,8.8,117129,143.457,8.764
ts5145,The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37,7.8,3362,18.075,7.7
tm191110,Titanic,MOVIE,1997,PG-13,194,"['drama', 'romance']",['US'],0,7.9,1146825,155.683,7.878
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1,8.9,115448,35.402,8.522
tm192037,Starship Troopers,MOVIE,1997,R,129,"['scifi', 'action', 'thriller']",['US'],0,7.3,291452,29.5,6.993
tm27395,Mission: Impossible II,MOVIE,2000,PG-13,123,"['thriller', 'action']",['US'],0,6.1,337987,29.392,6.1
tm113513,Dumb and Dumber,MOVIE,1994,PG-13,107,['comedy'],['US'],0,7.3,379999,31.852,6.6
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1,8.5,66629,49.27,8.637
tm192405,Gattaca,MOVIE,1997,PG-13,106,"['scifi', 'thriller', 'romance', 'drama']",['US'],0,7.8,300701,17.789,7.553
tm116655,Léon: The Professional,MOVIE,1994,R,111,"['crime', 'drama', 'action', 'thriller', 'european']","['US', 'FR']",0,8.5,1137357,51.406,8.323
ts21567,Gilmore Girls,SHOW,2000,TV-14,46,"['comedy', 'drama']",['US'],8,8.2,121462,58.578,7.827
tm116488,Natural Born Killers,MOVIE,1994,R,118,"['thriller', 'drama', 'crime', 'action']",['US'],0,7.3,11,21.933,7.1
tm11556,The Quick and the Dead,MOVIE,1995,R,107,"['action', 'thriller', 'western', 'romance']","['JP', 'US']",0,6.5,93767,13.056,6.5
tm56574,You've Got Mail,MOVIE,1998,PG,119,"['comedy', 'romance', 'drama']",['US'],0,6.7,211635,21.724,6.643
ts20960,Power Rangers,SHOW,1993,TV-Y7,22,"['action', 'scifi', 'fantasy', 'family']",['US'],29,6.5,22110,19.699,6.8
tm53991,Big Daddy,MOVIE,1999,PG-13,93,"['drama', 'comedy', 'european']",['US'],0,6.4,215053,26.848,6.45
tm49178,Vampires,MOVIE,1998,R,104,"['fantasy', 'action', 'horror', 'thriller']",['US'],0,6.1,58670,10.108,6.3
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7,7.3,21113,33.504,7.358
tm191989,Donnie Brasco,MOVIE,1997,R,127,"['drama', 'thriller', 'crime']",['US'],0,7.7,303868,22.225,7.5
ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,"['animation', 'scifi', 'comedy', 'family', 'fantasy']","['CA', 'US']",4,7.8,9829,16.83,7.8
ts22489,Goosebumps,SHOW,1995,TV-PG,22,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']","['US', 'CA']",4,7.6,13493,63.687,7.9
ts21034,InuYasha,SHOW,2000,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",['JP'],9,7.9,15823,62.355,8.6
tm121879,A River Runs Through It,MOVIE,1992,PG,123,['drama'],['US'],0,7.2,59854,19.58,7.1
tm44402,"Girl, Interrupted",MOVIE,1999,R,127,"['drama', 'european']","['DE', 'US']",0,7.3,183154,20.424,7.6
tm187187,Last Action Hero,MOVIE,1993,PG-13,131,"['action', 'fantasy', 'comedy', 'family']",['US'],0,6.4,150498,22.196,6.379
ts16919,All That,SHOW,1994,TV-G,22,"['comedy', 'family', 'music']",['US'],11,7.5,7718,6.688,8.4
tm6859,My Girl,MOVIE,1991,PG,103,"['drama', 'family', 'romance', 'comedy', 'european']",['US'],0,6.9,80590,20.545,7.4
tm118238,Wyatt Earp,MOVIE,1994,PG-13,191,"['western', 'crime', 'action', 'drama']",['US'],0,6.7,50774,14.677,6.751
tm111163,Eraser,MOVIE,1996,R,115,"['thriller', 'action', 'drama', 'crime']","['US', 'CA']",0,6.1,110921,19.437,6
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,N/A,87,"['action', 'drama', 'animation', 'scifi', 'fantasy']",['JP'],0,8,53152,32.569,8.4
tm192769,Vegas Vacation,MOVIE,1997,PG,94,['comedy'],['US'],0,5.9,49377,12.537,6.1
tm187791,In the Line of Fire,MOVIE,1993,R,128,"['drama', 'thriller', 'crime', 'action']",['US'],0,7.2,102916,19.8,6.973
tm113576,Little Women,MOVIE,1994,PG,115,"['drama', 'romance', 'family']",['US'],0,7.3,58178,13.683,7.314
tm65686,U.S. Marshals,MOVIE,1998,PG-13,131,"['thriller', 'crime', 'action']",['US'],0,6.5,105286,24.205,6.5
ts8570,Barney & Friends,SHOW,1992,TV-G,28,"['comedy', 'family']",['US'],14,3.8,9624,14.641,4.9
tm191387,Anaconda,MOVIE,1997,PG-13,89,"['horror', 'thriller', 'action']","['PE', 'US', 'BR']",0,4.8,104213,34.405,5.1
ts27693,Kenan & Kel,SHOW,1996,TV-Y7,25,"['family', 'comedy']",['US'],4,7.8,15620,33.544,8.3
tm19494,The Replacements,MOVIE,2000,PG-13,118,"['comedy', 'sport']",['US'],0,6.6,64771,30.982,6.6
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,136,"['action', 'drama', 'history', 'war']",['US'],0,7.1,142903,13.766,7.2
tm12499,The Net,MOVIE,1995,PG-13,114,"['thriller', 'action', 'crime', 'drama']",['US'],0,5.9,66667,15.935,6
tm186589,Cliffhanger,MOVIE,1993,R,112,"['action', 'thriller', 'comedy', 'animation']","['IT', 'US', 'FR']",0,6.5,128972,27.78,6.5
tm189764,Menace II Society,MOVIE,1993,R,97,"['drama', 'crime', 'thriller']",['US'],0,7.5,58179,13.928,7.542
tm10739,Johnny Mnemonic,MOVIE,1995,R,97,"['action', 'drama', 'scifi', 'thriller']","['CA', 'US']",0,5.6,71563,10.75,5.7
tm1822,3 Ninjas Kick Back,MOVIE,1994,PG,93,"['comedy', 'family', 'action', 'sport']","['JP', 'US']",0,4.5,9321,12.603,5.5
tm55369,Edge of Seventeen,MOVIE,1998,R,104,"['romance', 'drama', 'comedy']",['US'],0,6.8,6549,6.276,6.5
ts251477,My First Errand,SHOW,1991,TV-G,18,"['documentation', 'family', 'reality']",['JP'],12,,,7.73,7.8
tm192431,The Devil's Own,MOVIE,1997,R,107,"['crime', 'thriller', 'drama', 'action', 'european']",['US'],0,6.2,65323,12.863,6.1
ts22286,Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",['JP'],4,8,5008,35.757,8.7
tm192199,Spawn,MOVIE,1997,PG-13,96,"['scifi', 'action', 'drama', 'horror']",['US'],0,5.2,68184,16.989,5.343
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']",['US'],4,6.2,3902,13.313,6.3
tm56033,Croupier,MOVIE,1998,R,94,"['drama', 'european', 'crime']","['IE', 'GB', 'DE', 'FR']",0,7,21599,8.381,6.8
ts21581,Girlfriends,SHOW,2000,TV-PG,21,"['drama', 'comedy']",['US'],8,7.2,4528,12.163,7.7
tm117488,The Next Karate Kid,MOVIE,1994,PG,107,"['action', 'drama', 'family', 'sport', 'romance']",['US'],0,4.5,30422,20.185,5.318
tm190811,Geronimo: An American Legend,MOVIE,1993,PG-13,115,"['western', 'history', 'drama']",['US'],0,6.5,11709,8.136,6.3
tm191431,Double Team,MOVIE,1997,R,93,"['action', 'scifi', 'comedy', 'thriller']","['HK', 'US']",0,4.8,34396,14.599,5.1
tm10811,Heavy,MOVIE,1995,R,105,"['drama', 'romance']",['US'],0,6.8,5047,3.308,6.8
tm49839,The Players Club,MOVIE,1998,R,104,"['comedy', 'drama']",['US'],0,5.9,6676,9.25,6.3
ts20918,The Parkers,SHOW,1999,TV-PG,19,['comedy'],['US'],5,6.8,2377,5.745,8.1
ts21693,"Sister, Sister",SHOW,1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6,6.2,12657,21.489,7.5
ts20939,Moesha,SHOW,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],6,5.8,3747,10.901,7
ts21684,Heartbreak High,SHOW,1994,TV-MA,45,"['drama', 'romance', 'comedy']",['AU'],7,7.8,3139,7.222,7.3
ts22080,Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,"['animation', 'comedy', 'family', 'action', 'european']",['FR'],7,7.4,4281,40.189,7.5
tm67635,Kuch Kuch Hota Hai,MOVIE,1998,G,185,"['romance', 'comedy', 'drama']",['IN'],0,7.6,52036,12.35,7.7
tm320211,Children of God,MOVIE,1994,N/A,63,['documentation'],['GB'],0,6.3,612,0.685,6.4
tm7073,Knight Rider 2000,MOVIE,1991,G,91,"['action', 'scifi']",['US'],0,4.5,3207,7.945,5.1
ts28516,Okupas,SHOW,2000,TV-MA,40,"['drama', 'crime']",['AR'],1,9,2399,8.565,8.8
